x1,x2,x3,x4,y
8.55834,3.08451,1.79961,6.61568,0.45023
4.08455,8.66603,2.86980,1.67996,-7.29982
1.93701,8.92190,8.99454,0.56534,-74.71018
3.11286,7.36286,4.35027,7.14242,22.25650
5.52064,3.46109,6.07592,2.77215,-66.01461
6.02041,4.14574,4.04051,0.51734,-61.81329
6.48510,6.86578,7.25055,9.97896,-8.79243
2.95528,5.57838,4.07173,7.88104,25.78613
0.73953,6.09719,6.40472,5.35178,-7.07813
6.58322,5.91833,5.03354,0.99047,-65.60728
8.10927,7.31604,5.59584,9.36996,0.38188
6.15664,2.93745,0.13150,1.51232,-15.60639
4.36055,9.88046,1.40395,3.65065,31.11148
1.73343,6.68011,6.59096,9.95260,28.75475
4.41085,5.95305,3.80743,9.32218,38.50221
2.61820,4.44060,5.77801,4.62522,-26.44111
5.14620,1.41600,9.15979,9.52041,-54.88196
9.66820,6.77488,3.47648,0.17651,-70.26184
9.07378,8.87619,9.44545,2.43020,-111.51474
9.46936,0.47627,2.87139,8.75730,-12.06796
2.91272,8.28740,7.24748,8.04235,0.40005
0.17256,7.86375,8.20200,6.44435,-8.06518
8.10931,8.78447,4.97542,9.55293,15.15288
5.83623,8.04135,5.83563,5.03011,-26.84168
1.91044,8.71479,9.73798,9.36340,-5.12959
9.27676,6.47824,9.84260,5.24309,-99.22782
6.19297,0.94161,1.18251,3.76248,-13.15810
1.93962,8.11206,2.04374,8.88851,77.24926
5.19661,3.92799,7.31238,9.11768,-20.34094
6.93201,6.19878,6.53229,0.55315,-89.43161
5.72350,7.25804,0.07598,6.66754,52.53272
0.07593,8.88827,8.54399,7.70458,0.01979
2.76558,5.64968,4.25008,1.41950,-33.23025
0.91683,6.28992,8.21014,5.52488,-26.99819
4.80905,0.57733,8.29592,9.45181,-41.44572
5.44372,2.75826,8.05139,8.06964,-45.28908
8.89147,8.94525,2.48645,7.51763,18.32261
3.31664,0.31575,8.40043,2.25744,-98.04811
2.33311,8.18781,3.20698,7.84508,50.15183
0.39534,3.67962,4.97379,3.38236,-17.63664
3.37000,0.29550,9.60228,5.74778,-79.64347
3.50873,7.82963,4.90136,3.80018,-15.86967
7.67707,4.22707,6.30706,7.14359,-38.95682
1.81543,6.76891,3.86995,3.95277,5.95616
6.17322,2.52418,7.28460,6.24341,-59.27205
5.62244,5.97128,0.42534,4.38097,25.39997
3.01071,2.81378,8.67125,4.31568,-67.92692
8.59913,7.47784,6.65669,5.51757,-51.53870
7.15588,0.55853,9.66489,8.89487,-76.05584
7.29049,0.05125,6.30212,9.01396,-40.16281
9.00636,4.65935,0.72250,0.90880,-36.90552
6.35818,2.91121,1.71570,3.45805,-16.45825
4.22923,3.24335,4.12627,4.61691,-22.16430
4.82681,2.15492,7.05581,4.67960,-61.12003
2.76433,8.68453,8.65660,1.84110,-67.31419
8.64785,4.11675,8.47404,1.37173,-122.76386
8.20744,6.97744,2.32072,4.87449,-8.07387
2.70471,8.38330,5.73973,1.19875,-41.93679
4.09784,5.47212,6.93717,2.15911,-64.36225
1.92438,4.31598,5.41252,5.37640,-13.87891
8.22653,3.04165,3.03342,2.90820,-46.95665
0.81688,7.23944,8.85191,1.24694,-68.66528
3.37945,6.23841,5.26812,7.39944,6.44015
7.28105,1.78031,2.08985,1.97402,-44.31434
8.62961,8.09555,4.37992,1.94694,-57.66252
9.53762,6.46909,6.97519,9.41850,-28.17990
7.50346,5.95960,3.81173,4.69712,-20.87262
1.38751,0.10981,7.42749,2.14696,-76.24372
0.57605,8.93255,1.76814,6.69640,71.02270
4.35919,5.99674,5.01208,1.43661,-46.77530
1.09607,9.08607,0.99335,2.27323,42.89857
4.69521,0.28769,1.29248,7.57869,28.13997
8.96930,6.47330,8.61824,5.66182,-79.77402
1.19048,4.48880,1.82317,4.50773,32.67580
1.58198,1.81328,3.68370,0.02068,-46.16494
9.34573,9.33946,7.13738,3.37594,-70.68869
6.20029,9.40556,1.04527,5.34887,39.46044
5.60298,6.62642,4.74661,4.01956,-26.51478
0.72929,3.36137,3.38323,9.43099,54.07396
0.06360,9.36516,5.12661,4.23958,16.46009
0.55509,9.07488,5.58433,3.05392,-7.70617
3.92969,6.07215,8.40949,0.39822,-93.76180
8.34004,5.96865,6.69115,5.73207,-56.10864
9.70915,1.23587,3.48168,9.49769,-9.16108
7.05791,5.99548,9.10695,7.40254,-62.31414
1.55631,7.80405,7.53486,3.76526,-35.32595
2.95026,4.24243,6.02108,7.75727,-6.38966
7.77024,3.66603,2.86283,6.55070,-3.13238
8.74203,5.84427,5.73596,3.71546,-62.74060
8.73487,8.82393,1.65510,9.92885,54.92644
9.19839,2.14002,9.12181,2.36704,-134.66588
7.29309,5.51590,9.41456,8.30206,-60.75926
3.56940,4.11746,9.63425,3.45295,-86.47225
0.34992,6.26503,1.61352,3.33938,36.63601
2.74028,6.67444,5.37541,1.85444,-36.70827
3.92760,4.47330,0.76409,2.84168,8.72449
9.37192,8.67906,0.88849,4.55069,9.30756
6.67080,6.24537,1.99784,2.47723,-15.76545
0.97514,9.47177,3.52172,9.62081,77.97841
0.40992,2.04289,9.95129,9.33000,-28.34393
7.22574,6.39219,9.20686,8.84342,-46.59089
3.86183,4.24234,9.34183,7.59343,-50.26489
1.79874,4.36476,6.37204,7.05942,-3.69534
9.10473,0.08136,1.84815,2.35879,-52.67963
2.95157,0.35562,9.53234,7.91181,-59.34950
9.52040,1.48606,7.27105,8.82543,-56.68132
7.03098,9.74449,6.50505,2.93439,-54.87736
7.46166,5.31913,2.65068,1.83586,-40.23832
1.52095,6.03913,0.54127,0.56763,12.77873
6.57150,7.41372,0.64449,4.23650,22.08193
8.35432,1.77460,8.38729,1.64998,-126.50088
3.28756,2.21702,1.65207,6.88634,29.12330
2.04422,1.59944,5.41390,4.23548,-33.38139
4.24093,2.34017,5.38653,2.28248,-56.81277
2.70924,6.61437,9.74656,1.81699,-90.64455
1.07956,0.71784,0.65559,6.03787,43.54005
1.59206,9.60738,2.27923,5.79496,51.26560
9.16085,6.46216,9.05433,4.55600,-94.21848
4.31292,8.68283,4.64333,0.64568,-38.80988
0.77480,7.25382,4.20019,2.96137,0.29788
9.03466,9.06093,4.33526,9.52498,14.45494
5.52296,1.55151,4.53443,8.99291,-1.10533
4.48375,3.30350,2.19395,3.00511,-14.34868
3.33738,8.05009,2.76728,2.62001,2.73223
2.83312,8.77757,1.76908,5.19369,44.75206
5.44811,6.96733,3.67572,4.19854,-12.24412
4.01434,8.98254,9.46252,3.62460,-65.60099
0.35246,6.17407,8.84461,8.52223,-4.53691
8.20366,7.01981,6.50719,6.55413,-38.14484
6.23077,7.50169,7.78302,3.99150,-66.35342
6.35543,9.67818,4.10035,3.68021,-15.93782
4.24320,2.77135,8.84287,2.10354,-99.37670
8.21000,3.89788,8.43313,1.97733,-117.82295
8.75270,1.44356,7.69624,2.21611,-118.22559
9.46610,9.05002,3.39693,1.35711,-51.11953
5.00014,1.08214,8.02955,2.42405,-99.77476
8.71121,9.58548,1.48086,9.47010,56.67188
0.12667,6.61890,8.41402,9.28070,7.15130
4.11469,9.60418,6.31120,9.08439,21.57595
7.55771,1.44853,8.57715,1.86302,-127.01571
5.01300,0.57168,0.92021,8.24876,31.71545
7.74183,6.28415,3.89174,4.22084,-27.07591
2.23917,7.88074,2.59869,2.67884,11.22476
6.73495,7.15356,7.19870,9.31525,-14.65903
8.48939,1.97453,7.97859,4.33520,-97.00196
9.05312,2.68489,0.02304,3.83503,-9.34084
6.10646,1.96552,1.37289,5.58996,1.01858
6.20464,6.44861,7.93565,3.40742,-78.22328
1.17552,3.43779,4.82480,7.17055,12.10363
5.80386,3.94235,5.32470,0.55013,-80.43048
5.26022,4.77983,7.41934,0.09806,-101.48938
9.88148,4.25070,0.07449,1.13089,-33.10486
2.75374,6.84541,8.58894,5.61680,-39.44404
3.17088,6.77211,1.82941,6.46550,42.07797
5.23119,9.05000,8.48869,7.33171,-27.45432
9.24591,4.22592,3.05366,3.31636,-45.64008
9.57120,2.67632,9.47681,1.50858,-147.44297
9.65411,3.73409,4.60398,4.83824,-54.63779
2.17057,0.18131,0.36512,6.98598,44.97418
4.35654,0.63119,3.46651,1.44611,-51.37813
7.03994,4.87214,9.40801,3.11271,-108.08758
2.78224,0.31951,5.88643,4.68300,-46.04685
0.47393,8.78484,4.83077,6.28304,29.97997
8.45154,2.78719,5.93463,7.55231,-38.39658
1.80792,8.39419,9.62404,3.44468,-62.52937
5.56954,7.22437,9.49627,8.63137,-40.51046
8.15438,6.82624,9.67252,8.37339,-62.31907
5.69730,6.97133,8.95407,7.03601,-52.00077
1.86406,4.29458,0.35908,1.41266,15.20906
4.06126,2.64065,6.01062,0.41743,-81.60058
0.72611,7.15502,3.09557,6.63798,45.09530
2.22835,6.42418,9.28656,2.83902,-72.93000
4.70307,2.79683,6.92232,0.28821,-97.94655
0.15292,7.79027,4.07742,7.72697,52.26035
6.55065,9.68790,7.07847,8.38071,-11.45201
2.31550,8.53612,2.52227,4.30827,30.38658
0.62494,3.66207,6.86690,6.81559,-7.95266
1.95665,2.21664,3.99169,0.40086,-49.61897
1.12111,6.85986,8.87926,8.66986,-8.52982
5.85839,5.02395,7.92494,5.93847,-58.38113
1.49614,0.26498,5.12451,4.14039,-31.14725
2.14863,9.76412,0.57214,3.70515,52.77287
6.36156,4.63406,0.63421,9.35082,59.01201
7.68414,9.21871,0.99023,7.23317,44.21840
3.63752,2.47187,5.07541,7.78204,1.55277
5.93545,7.89905,6.03420,7.37015,-8.21287
7.05071,5.10635,2.62085,4.10347,-14.21879
6.18243,7.78969,3.16994,1.90764,-23.97714
8.10663,1.87752,1.97328,6.76589,-1.91891
1.77946,7.84465,4.84425,1.37744,-22.55362
4.00714,3.46091,0.45156,5.73497,35.71094
9.19358,5.57821,8.18138,2.59255,-102.11215
4.91354,6.09306,8.34369,9.36187,-21.89681
1.93025,9.45515,2.51798,6.12695,50.69383
8.13051,2.69710,8.12350,9.93583,-44.49415
3.10249,4.03362,6.55648,4.98676,-36.69252
1.93699,6.99091,8.22403,9.30822,-0.76999
5.43117,2.68834,2.92116,4.46708,-16.80660
7.55970,8.56951,4.60609,7.48286,0.54143
2.94105,9.03090,9.87202,2.93963,-72.52853
5.70542,0.65938,0.45275,3.05934,-10.31907
8.89815,3.50254,2.36503,9.31958,16.60587
2.07461,2.40794,0.38757,4.49443,35.18444
3.99953,8.20749,7.94316,1.72022,-73.48819
9.77590,6.66961,9.62546,7.94046,-74.07787
4.69395,6.98349,3.47076,8.62089,34.40183
3.23051,7.50863,3.36529,6.55258,31.18782
0.95541,9.79436,6.20936,7.43319,27.39812
8.42806,8.64475,1.24255,5.68549,22.35730
1.97673,3.81559,9.54119,0.21590,-107.94222
8.87297,6.19106,9.34234,7.24417,-74.72597
1.74417,0.44588,3.22724,9.00461,32.79276
9.74499,4.53780,1.15387,6.51100,3.55279
5.10404,4.36687,9.55058,1.83772,-106.03133
1.32012,6.72272,6.90749,3.46575,-31.97205
7.18890,3.13012,1.99583,0.36170,-52.18902
3.08580,7.17898,7.53625,6.32755,-20.79575
5.27251,9.11468,8.85531,2.26194,-84.15967
0.38096,3.54080,8.45827,5.47627,-39.77958
1.60816,1.04762,0.61410,6.89652,49.33339
5.75999,0.33300,1.88658,2.47910,-36.24272
3.66893,2.64451,6.95475,4.06736,-59.68091
3.93783,2.58841,6.56133,7.90128,-18.84900
3.31878,6.70200,8.84415,5.33373,-49.70829
7.10081,9.28163,6.01526,2.98059,-52.93635
7.43065,6.47689,5.37282,7.52874,-12.55611
1.63918,2.51992,7.48317,0.73766,-85.99874
5.51066,1.56980,5.26315,5.53201,-39.04170
8.41457,9.97967,6.83757,8.76878,-14.49128
3.12637,8.28369,0.36371,6.31183,64.84433
6.46846,2.86744,5.80792,8.58747,-21.31819
3.19037,9.87657,1.94532,3.15833,26.02212
6.26684,3.53233,1.14974,9.23668,44.66134
5.49025,3.43315,5.27111,5.39704,-31.04739
1.96516,2.54592,1.41172,5.48329,28.89025
1.93613,7.91405,6.74480,4.40865,-18.93043
5.04591,9.21138,7.74883,5.05743,-39.99831
6.93545,3.71984,8.59339,9.17455,-47.38593
1.60012,3.83481,1.41742,5.68962,40.73893
7.16822,4.94744,5.50169,5.05515,-46.56939
3.29614,5.82954,9.81382,4.51150,-75.02996
7.76287,7.07271,1.22889,4.89365,13.43240
9.98146,0.18242,4.39322,1.46964,-95.45209
3.08147,1.44525,4.48838,4.29226,-24.84217
6.62454,3.48945,5.78887,6.40056,-34.31078
5.08908,6.00323,5.77070,3.38905,-44.61590
4.89788,9.45962,4.42280,6.18029,5.95445
8.91710,0.94667,0.31792,9.10462,27.94124
7.21455,0.54016,8.28082,0.73589,-132.10362
4.19121,0.18072,1.32780,2.23571,-18.69720
4.93268,4.01337,7.44766,1.31826,-92.08965
8.30513,2.11627,1.86982,4.56231,-22.53908
0.05428,8.66909,8.39975,3.14492,-37.03113
8.66368,0.56686,8.33663,2.04859,-130.36122
0.34028,1.99638,6.20082,6.44251,-11.42438
2.09127,8.55971,2.62837,9.61607,78.96481
1.18449,3.60092,3.34613,3.14808,-4.30106
9.52432,2.45725,7.10634,5.18028,-86.32811
0.67570,9.62435,2.33457,8.58176,85.76633
8.61924,0.06561,0.94445,2.91501,-34.43823
3.45297,8.79292,2.04552,4.82411,31.62748
4.45080,0.03330,8.11458,8.63249,-47.06458
6.56749,0.99206,5.19593,0.19631,-94.83313
1.04560,8.80456,8.19459,0.81514,-60.63240
4.38075,0.83525,8.69208,1.92760,-106.93329
9.32602,0.02424,0.97753,8.43951,9.19963
4.52919,3.98481,4.58458,4.30080,-27.61148
6.39160,8.89812,9.89966,0.41817,-118.41821
3.81562,8.59917,6.44460,3.20281,-36.79240
2.28550,1.56285,8.18744,3.99046,-75.24972
4.04461,4.53709,2.00375,9.20329,53.84884
6.74672,6.78383,5.75735,0.53538,-76.90768
2.23758,6.87457,2.50901,8.38289,59.44702
9.80670,1.09965,7.38768,5.88454,-91.82583
3.78120,1.25720,3.73702,6.91207,3.98115
3.52964,5.17630,5.64472,9.73926,13.45943
3.80269,4.12112,8.97224,7.61087,-43.40887
4.22720,7.37906,3.33003,1.59497,-22.80890
8.78827,3.31880,4.92044,0.16290,-96.94443
8.00198,1.69045,3.18347,5.62177,-29.50130
0.55808,9.87411,8.01389,7.48874,7.94632
6.39405,2.22090,3.99051,7.74800,-6.60441
5.93924,9.53139,6.14007,0.79162,-59.63946
1.95951,4.50563,9.85659,7.10685,-51.21534
7.35149,8.35180,6.76924,2.62256,-68.88686
6.47615,0.23753,0.27959,2.50431,-16.24331
6.96102,0.73917,4.93187,4.21269,-56.49014
9.29915,8.34896,2.03104,0.89858,-38.70504
1.02755,0.59931,7.53535,6.11548,-41.65303
4.40918,3.82788,5.96369,6.61604,-22.68433
3.84130,5.20269,2.48955,3.72324,3.86741
5.00099,3.27297,3.09325,2.73274,-24.70637
4.54993,9.39565,6.35809,0.41905,-68.19383
2.46517,7.59696,7.59975,5.33719,-23.69391
1.62292,1.37682,2.06352,8.39930,49.35389
2.67916,6.53459,3.60455,1.35812,-16.86765
1.99684,6.46999,0.23174,1.68357,28.97870
3.27880,4.68042,4.63900,8.48585,18.75640
2.10518,7.23461,8.66451,7.19520,-21.08888
4.88782,6.28502,5.55061,4.38749,-31.00138
8.20388,2.84455,8.96485,2.65401,-123.17456
5.84037,5.07106,8.37570,2.32222,-94.32059
0.79310,7.30839,0.74831,8.97449,96.29578
7.26088,0.84431,8.12421,1.88603,-119.98315
8.47020,0.87000,3.81612,5.17712,-44.61952
7.49086,4.43275,4.30813,4.72408,-37.05228
7.92183,1.45565,1.82420,0.51095,-59.93025
5.34537,1.85683,2.82346,8.01879,14.70377
4.32788,7.09093,0.86541,4.57548,31.50513
7.57416,7.03053,7.15727,4.42171,-60.55939
2.30468,2.78841,3.75549,1.47780,-35.21754
6.69193,8.98460,5.90342,5.93605,-20.01503
9.91773,3.31457,4.55549,0.65285,-93.08641
9.98290,6.15770,7.84536,7.23126,-67.74818
3.61855,6.01330,5.92521,2.87745,-45.88125
1.55830,2.80590,2.70963,5.14861,19.45701
9.40342,0.94528,8.46134,5.35367,-107.62464
8.93523,5.29154,1.72376,5.63859,-3.09606
6.43605,9.82969,4.44693,8.94911,31.24738
5.14511,6.78079,0.36531,7.78062,62.84873
4.97871,0.93139,2.62463,6.86976,2.03200
5.57275,6.24875,2.09355,9.32045,51.35279
2.75461,3.56319,2.19765,1.46895,-14.46209
0.80052,0.99941,9.06442,5.84041,-54.01058
7.35990,4.73764,2.99489,6.30200,-6.24971
4.39737,5.08633,3.56191,1.72999,-32.06732
3.14026,7.90217,1.04676,8.93979,80.77564
7.14248,3.68200,0.10970,8.76786,49.63669
1.56861,9.71260,7.01411,2.48230,-32.63121
7.25020,0.80120,6.91402,2.07544,-104.29327
0.23964,5.29762,8.44594,7.78667,-14.30693
1.25565,4.62838,6.49473,3.58863,-35.97456
0.61825,6.68992,0.85772,5.00098,55.14673
9.34955,7.00704,5.60112,5.33090,-44.66634
5.58351,9.23262,2.38102,4.62876,17.25522
8.45768,8.00585,8.98543,5.65373,-76.98463
8.60875,9.99105,5.04034,8.11979,0.24919
3.09964,9.50976,9.98430,0.45389,-91.38468
8.47396,9.08169,7.87447,3.77254,-73.46594
5.56726,9.36744,1.52724,5.74270,36.48196
0.97564,2.82541,9.52179,3.30179,-78.59134
8.26192,8.74594,7.85801,5.53874,-60.39170
2.24198,1.60038,2.46487,3.20610,-6.31649
6.04887,8.28915,9.67197,8.40313,-43.72864
9.63039,4.83701,4.05172,1.91637,-68.35041
3.45009,6.67232,0.33143,2.89731,30.92018
4.34318,9.05587,7.61255,6.86873,-18.82018
2.79731,0.63205,9.76861,9.38795,-48.73603
2.72159,9.96273,1.55441,1.79961,21.73832
8.16763,3.40998,1.29419,9.88247,38.61899
4.83978,7.25475,9.37706,6.35717,-55.68677
6.51536,7.96707,2.50829,3.47931,-6.78072
1.48714,5.15979,7.70285,7.07394,-18.70660
2.66809,3.81994,9.65741,0.46343,-115.56851
3.74703,3.90456,5.03405,8.50993,9.69199
3.48262,9.43534,0.91325,9.04700,86.56364
1.03952,6.39799,3.60411,2.61591,0.54195
4.65874,1.86569,7.23917,4.13597,-72.57399
0.66916,8.47079,2.59115,6.18885,57.83008
6.24411,7.92298,6.89046,7.31700,-20.81996
3.10446,7.12355,1.20910,3.01802,20.67497
9.30211,5.90130,3.77965,1.94100,-62.25046
1.89327,4.47681,7.64801,9.65251,2.67118
3.15776,8.23942,1.02060,7.78491,72.44771
0.69822,0.53303,6.34715,7.93846,-6.93438
9.35600,9.91924,7.24904,7.66592,-32.49071
6.33727,1.39248,3.77559,6.65271,-21.94019
1.51967,4.13421,5.63204,3.02978,-34.09517
1.29379,7.98263,6.84946,8.02828,12.85719
0.49236,6.32075,8.32221,1.53007,-63.18360
8.45076,7.89779,7.77348,3.74409,-79.69946
7.68281,4.26792,5.07771,6.89053,-29.13677
7.73070,8.47253,1.75526,6.57899,26.48069
9.87981,0.54856,1.88061,3.29020,-54.07624
0.85384,5.58250,5.25312,7.16595,13.46168
9.14153,1.30795,7.75958,4.21547,-106.96681
2.58037,2.03393,6.58895,3.08923,-59.55419
2.58228,9.40531,3.59415,4.26183,17.46911
6.78506,6.80617,6.00981,8.71873,-5.31748
1.31786,6.87341,4.45159,4.12360,3.16244
2.57246,1.56316,7.09645,9.72121,-6.14115
6.19599,1.87093,9.11260,9.21251,-57.38142
2.97441,8.42957,3.85662,6.90991,27.71633
2.19516,2.82447,5.78902,9.38885,13.70784
8.03053,4.86841,9.58581,7.47792,-74.06292
7.37835,7.32826,9.77987,6.97218,-70.19318
3.94557,3.25103,7.28845,6.79446,-30.60805
9.41604,3.03819,7.60523,7.17626,-68.15255
3.60375,9.66383,3.45382,4.24180,10.78824
7.19916,0.51500,7.80486,8.62912,-56.64127
8.48541,3.99508,2.53032,4.46087,-28.72163
6.24912,0.76520,4.41076,2.26568,-66.76559
3.57069,1.70691,4.27273,8.79487,13.53262
6.78435,3.69583,8.22152,7.28269,-59.87273
1.02019,4.76736,9.44000,2.96309,-69.09941
4.85536,7.71973,7.84372,4.27953,-55.16144
7.87666,8.98962,7.61607,1.72163,-86.71217
2.26646,2.68721,9.29887,8.41257,-36.96977
4.31648,6.91148,6.60952,5.45464,-28.07425
2.75284,0.63417,5.77864,5.05751,-36.43698
4.75329,5.88680,5.03505,9.40035,18.87740
3.97464,1.95240,6.99245,8.77284,-20.83351
7.59847,6.06596,2.94084,1.07387,-49.57066
5.25250,9.94552,1.01602,8.60239,74.66882
2.43436,1.21409,8.26618,9.35571,-26.12993
1.52121,8.00930,2.06364,8.54979,78.65324
0.77445,4.52521,9.48717,7.10399,-38.38735
4.51169,2.96450,8.61117,7.49416,-48.09194
7.29463,2.57586,5.64656,0.10609,-102.50379
8.63290,3.36840,8.15084,8.77612,-60.79361
7.87669,1.82259,4.10859,7.35248,-20.71798
7.84274,6.56969,1.59805,7.24170,24.23034
0.10814,0.38518,0.92187,8.60397,66.63070
4.92322,6.31404,8.60067,5.55129,-58.07044
5.29408,4.73210,1.97667,8.03597,32.39497
2.40618,4.28932,7.24738,7.48313,-19.35778
4.40918,0.62840,5.43948,6.08614,-33.08071
3.66805,8.43407,4.17023,0.30873,-34.88396
6.21333,8.86252,2.98568,7.40336,26.31759
8.92256,2.03856,3.79388,5.52043,-41.26414
1.57089,4.77147,5.77066,8.78595,19.30407
9.33164,9.54562,3.36510,3.07105,-32.80442
8.46044,2.79254,2.48977,7.07537,-5.46887
2.89582,6.71471,2.58072,6.15279,39.11962
1.17162,2.83703,8.60985,2.13039,-78.69420
5.84242,4.26127,2.30308,9.02679,32.67665
8.93404,3.61892,9.90836,8.77780,-81.46588
4.90621,5.81739,9.11020,6.03043,-60.10208
2.47867,6.32729,1.79130,5.46009,36.29652
2.21231,0.66532,5.14015,1.45514,-54.54050
5.93001,2.37300,8.66501,1.19287,-118.17872
6.43855,3.66371,2.35671,2.40136,-27.51106
3.64514,1.40622,1.12859,1.55601,-16.52498
1.97457,9.03799,7.18540,3.17575,-33.44966
2.68619,1.56620,0.11805,5.85669,39.92398
3.53218,4.13574,7.39520,3.70811,-58.25948
2.24225,4.50456,4.04129,9.28655,41.36339
9.15910,6.64792,2.50619,8.41959,16.54127
0.35126,7.78732,0.37569,9.96049,112.24149
4.06879,2.38138,8.18673,5.90163,-61.69489
9.12325,7.79004,7.43828,8.93528,-29.78569
4.45663,9.28678,7.66518,5.18592,-34.96994
3.85775,2.12870,9.48431,0.14627,-125.24398
7.73219,8.04697,2.39063,5.78804,11.98985
3.45459,3.63032,6.64773,7.06554,-18.96905
3.10224,7.65456,6.94722,4.23734,-31.08608
2.22379,5.18407,9.56428,3.77637,-72.26943
9.80422,0.72366,6.38930,1.03532,-120.79004
5.06065,7.49173,6.56840,1.71286,-63.64402
1.87003,0.49318,5.69075,6.32435,-22.10178
7.17211,6.97827,3.01847,8.92618,25.70607
1.69286,3.28220,5.24688,7.57468,7.23049
7.78655,9.02189,8.90666,2.37861,-95.51048
3.08626,8.16000,5.06459,1.66334,-32.59060
2.46191,4.79566,0.87066,3.78569,28.29262
1.50323,7.40971,2.99722,0.33206,-12.18290
6.75380,0.82780,2.70313,6.40119,-9.91873
5.89727,1.37436,4.20999,0.82533,-74.66395
4.48249,5.91819,6.81486,9.32676,1.45602
1.65719,8.76710,3.48788,7.66045,51.37724
1.99733,9.97454,9.89600,3.76283,-58.31837
4.38843,8.79108,6.53930,2.76340,-41.45013
9.00628,8.39942,9.83376,0.80385,-131.18734
0.66469,9.20974,5.27794,9.78896,56.21983
0.91967,7.06055,5.83261,9.87290,40.71080
4.37590,4.96103,8.74954,4.15933,-73.87868
5.16068,2.53899,8.18730,1.29491,-108.91419
6.90613,0.36765,3.54922,2.62377,-56.24073
0.09103,4.69049,3.81684,7.13829,36.29692
9.80853,9.69768,2.29301,0.56704,-45.90479
7.65320,4.94667,9.99864,9.27473,-61.43415
8.49317,9.68240,2.95361,5.04866,-1.04724
1.56077,2.91654,4.25758,3.52899,-18.81528
8.68719,5.01194,4.60713,9.40973,-3.99205
9.17515,1.90454,9.68892,4.92827,-119.60188
6.58228,2.17670,3.89448,6.56906,-19.94631
0.17094,7.27052,4.69482,2.13600,-7.33234
4.98164,9.08063,4.52487,0.38152,-44.46385
7.64974,6.35593,8.36371,5.72267,-69.42449
9.67746,8.40275,6.42711,3.88743,-65.53754
1.57701,6.42846,9.89563,5.92049,-48.75598
5.52315,3.50304,2.72270,2.73836,-26.02158
5.62324,4.76477,5.12932,5.67541,-20.21893
8.20595,9.28953,9.28492,4.98113,-75.08723
0.51375,0.11171,6.30970,8.01296,-6.04502
9.10347,7.11852,4.05420,0.14423,-74.11804
0.98994,5.18939,6.21432,6.59871,0.19116
5.22792,0.39194,8.63356,2.75714,-107.71550
3.48418,2.28321,5.08021,8.27956,0.10169
8.60191,3.94289,8.39618,1.52398,-125.21897
1.55860,7.40002,8.75300,9.41441,-1.78539
5.92418,5.79402,6.37370,1.35150,-79.95722
4.61852,3.55366,6.34655,2.25200,-65.19750
0.54090,9.82725,8.25710,8.16558,10.04670
6.39777,7.12578,3.70262,5.50541,-5.80398
1.07870,7.18251,8.73429,8.41587,-6.70045
6.87687,9.51751,1.53106,6.29819,34.58095
5.49207,6.74992,0.68295,5.63520,38.47420
8.43072,0.72385,7.94376,1.63354,-127.75794
